,id,name,country,country_code,abbreviation,week,Year
268,sr:competitor:121668,"Meligeni Alves, Felipe",Brazil,BRA,MEL,16,2025
269,sr:competitor:437794,"Heinonen, Adam",Sweden,SWE,HEI,16,2025
270,sr:competitor:322589,"Pujol Navarro, Bruno",Spain,ESP,PUJ,16,2025
271,sr:competitor:53483,"Masur, Daniel",Germany,DEU,MAS,16,2025
272,sr:competitor:614090,"Pieczonka, Filip",Poland,POL,PIE,16,2025
273,sr:competitor:130398,"Kecmanovic, Miomir",Serbia,SRB,KEC,16,2025
274,sr:competitor:126402,"Denolly, Corentin",France,FRA,DEN,16,2025
275,sr:competitor:79227,"Sinclair, Colin",Northern Mariana Islands,MNP,SIN,16,2025
276,sr:competitor:217192,"Ouakaa, Aziz",Tunisia,TUN,OUA,16,2025
277,sr:competitor:739643,"Loof, Thijmen",Netherlands,NLD,LOO,16,2025
278,sr:competitor:130436,"Habib, Hady",Lebanon,LBN,HAB,16,2025
279,sr:competitor:774476,"Debru, Gabriel",France,FRA,DEB,16,2025
280,sr:competitor:121122,"Freund, Simon",Sweden,SWE,FRE,16,2025
281,sr:competitor:220588,"Hsu, Yu Hsiou",Chinese Taipei,TPE,HSU,16,2025
282,sr:competitor:60614,"Poljak, David",Czechia,CZE,POL,16,2025
283,sr:competitor:381022,"Wendelken, Harry",Great Britain,GBR,WEN,16,2025
284,sr:competitor:96535,"Virgili, Augusto",Italy,ITA,VIR,16,2025
285,sr:competitor:452787,"Kumar, Pranav",USA,USA,KUM,16,2025
286,sr:competitor:154570,"Orlov, Vladyslav",Ukraine,UKR,ORL,16,2025
287,sr:competitor:154490,"Pearson, Kody",Australia,AUS,PEA,16,2025
288,sr:competitor:207777,"Imamura, Masamichi",Japan,JPN,IMA,16,2025
289,sr:competitor:682913,"Rocha, Henrique",Portugal,PRT,ROC,16,2025
290,sr:competitor:645452,"Nesterov, Pyotr",Bulgaria,BGR,NES,16,2025
291,sr:competitor:398360,"Urrea, Andres",Colombia,COL,URR,16,2025
292,sr:competitor:185434,"Rodriguez Taverna, Santiago",Argentina,ARG,ROD,16,2025
293,sr:competitor:378220,"Huertas Del Pino Cordova, Arklon",Peru,PER,HUE,16,2025
294,sr:competitor:47975,"Hanfmann, Yannick",Germany,DEU,HAN,16,2025
295,sr:competitor:129368,"Koepfer, Dominik",Germany,DEU,KOE,16,2025
296,sr:competitor:15931,"Brown, Dustin",Jamaica,JAM,BRO,16,2025
297,sr:competitor:161220,"Pavel, Bogdan",Romania,ROU,PAV,16,2025
298,sr:competitor:809324,"Pacheco Mendez, Rodrigo",Mexico,MEX,PAC,16,2025
299,sr:competitor:645442,"Genov, Anthony",Bulgaria,BGR,GEN,16,2025
300,sr:competitor:47760,"Weissborn, Tristan-Samuel",Austria,AUT,WEI,16,2025
301,sr:competitor:95939,"Whitehouse, Mark",Great Britain,GBR,WHI,16,2025
302,sr:competitor:310974,"De Jong, Jesper",Netherlands,NLD,DEJ,16,2025
303,sr:competitor:145122,"Martineau, Matteo",France,FRA,MAR,16,2025
304,sr:competitor:759900,"Lanik, Tomas",Slovakia,SVK,LAN,16,2025
305,sr:competitor:84301,"Reese, Hunter",USA,USA,REE,16,2025
306,sr:competitor:124934,"Lomakin, Grigoriy",Kazakhstan,KAZ,LOM,16,2025
307,sr:competitor:49172,"Dzumhur, Damir",Bosnia & Herzegovina,BIH,DZU,16,2025
308,sr:competitor:439474,"Jermar, Jan",Czechia,CZE,JER,16,2025
309,sr:competitor:113905,"Moreno de Alboran, Nicolas",USA,USA,MAN,16,2025
310,sr:competitor:407791,"Mackinlay, James",Great Britain,GBR,MAC,16,2025
311,sr:competitor:223788,"Stepanov, Roy",Israel,ISR,STE,16,2025
312,sr:competitor:202735,"Carou, Ignacio",Uruguay,URY,CAR,16,2025
313,sr:competitor:603098,"Fery, Arthur",Great Britain,GBR,FER,16,2025
314,sr:competitor:121248,"Roveri Sidney, Gabriel",Brazil,BRA,ROV,16,2025
315,sr:competitor:244388,"Kalyanpur, Adil",India,IND,KAL,16,2025
316,sr:competitor:193912,"Dev, S D Prajwal",India,IND,DEV,16,2025
317,sr:competitor:93597,"Pellegrino, Andrea",Italy,ITA,PEL,16,2025
318,sr:competitor:287543,"Hulme, Matt",Australia,AUS,HUL,16,2025
319,sr:competitor:82133,"Dellien, Murkel",Bolivia,BOL,DEV,16,2025
320,sr:competitor:220590,"Huang, Tsung-Hao",Chinese Taipei,TPE,HUA,16,2025
321,sr:competitor:67154,"Barrere, Gregoire",France,FRA,BAR,16,2025
322,sr:competitor:124656,"Vukic, Aleksandar",Australia,AUS,VUK,16,2025
323,sr:competitor:686911,"Poljicak, Mili",Croatia,HRV,POL,16,2025
324,sr:competitor:447733,"Hands, Tom",Great Britain,GBR,HAN,16,2025
325,sr:competitor:240264,"Reis Da Silva, Joao Lucas",Brazil,BRA,REI,16,2025
